Geography,Age group,Population
,5 to 9 years,"8,151"
,10 to 14 years,"8,136"
,15 to 19 years,"9,396"
,20 to 24 years,"11,497"
,25 to 29 years,"11,262"
,30 to 34 years,"10,475"
,35 to 39 years,"10,227"
,40 to 44 years,"10,431"
,45 to 49 years,"10,658"
,50 to 54 years,"13,243"
,55 to 59 years,"12,797"
,60 to 64 years,"11,229"
,65 to 69 years,"9,671"
,70 to 74 years,"6,981"
,75 to 79 years,"5,309"
,80 to 84 years,"3,956"
,85 to 89 years,"2,530"
,90 years and over,"1,220"
"Thunder Bay, Ontario",All ages,"124,292"
,0 to 4 years,"5,749"
,5 to 9 years,"5,731"
,10 to 14 years,"5,858"
,15 to 19 years,"6,795"
,20 to 24 years,"8,482"
,25 to 29 years,"8,789"
,30 to 34 years,"7,603"
,35 to 39 years,"7,067"
,40 to 44 years,"7,341"
,45 to 49 years,"8,135"
,50 to 54 years,"9,428"
,55 to 59 years,"10,134"
,60 to 64 years,"9,056"
,65 to 69 years,"7,855"
,70 to 74 years,"5,340"
,75 to 79 years,"4,140"
,80 to 84 years,"3,144"
,85 to 89 years,"2,149"
,90 years and over,"1,496"
"Winnipeg, Manitoba",All ages,"810,929"
,0 to 4 years,"45,787"
,5 to 9 years,"44,924"
,10 to 14 years,"44,251"
,15 to 19 years,"49,923"
,20 to 24 years,"59,034"
,25 to 29 years,"63,228"
,30 to 34 years,"61,728"
,35 to 39 years,"56,759"
,40 to 44 years,"53,462"
,45 to 49 years,"52,325"
,50 to 54 years,"57,658"
,55 to 59 years,"54,590"
,60 to 64 years,"47,118"
,65 to 69 years,"39,903"
,70 to 74 years,"27,744"
,75 to 79 years,"19,655"
,80 to 84 years,"15,175"
,85 to 89 years,"10,584"
,90 years and over,"7,081"
"Regina, Saskatchewan",All ages,"247,192"
,0 to 4 years,"15,661"
,5 to 9 years,"15,188"
,10 to 14 years,"13,599"
,15 to 19 years,"14,039"
,20 to 24 years,"17,266"
,25 to 29 years,"21,998"
,30 to 34 years,"21,216"
,35 to 39 years,"18,563"
,40 to 44 years,"16,316"
,45 to 49 years,"14,796"
,50 to 54 years,"16,705"
,55 to 59 years,"16,165"
,60 to 64 years,"13,684"
,65 to 69 years,"10,468"
,70 to 74 years,"7,152"
,75 to 79 years,"5,496"
,80 to 84 years,"4,271"
,85 to 89 years,"2,764"
,90 years and over,"1,845"
"Saskatoon, Saskatchewan",All ages,"314,769"
,0 to 4 years,"20,132"
,5 to 9 years,"18,982"
,10 to 14 years,"16,997"
,15 to 19 years,"17,777"
,20 to 24 years,"23,580"
,25 to 29 years,"32,449"
,30 to 34 years,"28,782"
,35 to 39 years,"23,680"
,40 to 44 years,"20,256"
,45 to 49 years,"18,579"
,50 to 54 years,"20,172"
,55 to 59 years,"19,413"
,60 to 64 years,"16,274"
,65 to 69 years,"12,259"
,70 to 74 years,"8,231"
,75 to 79 years,"6,470"
,80 to 84 years,"5,163"
,85 to 89 years,"3,346"
,90 years and over,"2,227"
"Calgary, Alberta",All ages,"1,462,927"
,0 to 4 years,"91,751"
,5 to 9 years,"90,205"
,10 to 14 years,"79,363"
,15 to 19 years,"79,919"
,20 to 24 years,"94,533"
,25 to 29 years,"119,401"
,30 to 34 years,"136,941"
