Geo Code,Geo Name,Line Number
462028000,280,10023
462028100,281,10034
462028200,282,10045
462028301,283.01,10056
462028302,283.02,10067
462028400,284,10078
462028500,285,10089
462028600,286,10100
462028701,287.01,10111
462028702,287.02,10122
462028800,288,10133
462029001,290.01,10144
462029002,290.02,10155
462029003,290.03,10166
462029004,290.04,10177
462029005,290.05,10188
462029006,290.06,10199
462029007,290.07,10210
462029008,290.08,10221
462029009,290.09,10232
462029101,291.01,10243
462029103,291.03,10254
462029104,291.04,10265
462030000,300,10276
462030100,301,10287
462030200,302,10298
462030300,303,10309
462030400,304,10320
462030500,305,10331
462030600,306,10342
462030700,307,10353
462030800,308,10364
462030900,309,10375
462031000,310,10386
462031100,311,10397
462031200,312,10408
462031300,313,10419
462031400,314,10430
462031600,316,10441
462031702,317.02,10452
462031703,317.03,10463
462031704,317.04,10474
462032000,320,10485
462032100,321,10496
462032202,322.02,10507
462032203,322.03,10518
462032204,322.04,10529
462032300,323,10540
462032401,324.01,10551
462032402,324.02,10562
462032501,325.01,10573
462032502,325.02,10584
462032503,325.03,10595
462032505,325.05,10606
462032506,325.06,10617
462032601,326.01,10628
462032602,326.02,10639
462032603,326.03,10650
462032700,327,10661
462032800,328,10672
462032900,329,10683
462033000,330,10694
462034000,340,10705
462035000,350,10716
462035100,351,10727
462035200,352,10738
462035300,353,10749
462035400,354,10760
462035500,355,10771
462035600,356,10782
462036000,360,10793
462036100,361,10804
462036200,362,10815
462036300,363,10826
462036400,364,10837
462036500,365,10848
462036600,366,10859
462036700,367,10870
462037000,370,10881
462038000,380,10892
462038100,381,10903
462038201,382.01,10914
462038202,382.02,10925
462038301,383.01,10936
462038302,383.02,10947
462038500,385,10958
462039000,390,10969
462039100,391,10980
462039200,392,10991
462039300,393,11002
462039400,394,11013
462039501,395.01,11024
462039502,395.02,11035
462039503,395.03,11046
462039600,396,11057
462039700,397,11068
462040000,400,11079
462040100,401,11090
462040200,402,11101
462040300,403,11112
462040400,404,11123
462041001,410.01,11134
462041002,410.02,11145
462041003,410.03,11156
462041200,412,11167
462041301,413.01,11178
462041302,413.02,11189
462041503,415.03,11200
462041504,415.04,11211
462041505,415.05,11222
462041506,415.06,11233
462041601,416.01,11244
462041602,416.02,11255
462041701,417.01,11266
462041702,417.02,11277
462041800,418,11288
462041900,419,11299
462042000,420,11310
462042101,421.01,11321
462042102,421.02,11332
462043000,430,11343
462043100,431,11354
462043200,432,11365
462043300,433,11376
462045000,450,11387
462045100,451,11398
462045200,452,11409
462045301,453.01,11420
462045302,453.02,11431
462046000,460,11442
462046100,461,11453
462046201,462.01,11464
462046202,462.02,11475
462047001,470.01,11486
462047003,470.03,11497
462047004,470.04,11508
462047005,470.05,11519
462048000,480,11530
462049000,490,11541
462049100,491,11552
462050000,500,11563
462051101,511.01,11574
462051102,511.02,11585
462051202,512.02,11596
462051203,512.03,11607
462051204,512.04,11618
462051301,513.01,11629
462051302,513.02,11640
462051401,514.01,11651
462051402,514.02,11662
462051501,515.01,11673
462051502,515.02,11684
462051503,515.03,11695
462051504,515.04,11706
462052002,520.02,11717
462052003,520.03,11728
462052004,520.04,11739
462052101,521.01,11750
462052104,521.04,11761
462052105,521.05,11772
462052106,521.06,11783
462052107,521.07,11794
462052201,522.01,11805
462052202,522.02,11816
462052300,523,11827
462053000,530,11838
462054000,540,11849
462055002,550.02,11860
462055003,550.03,11871
462055004,550.04,11882
462057000,570,11893
462058001,580.01,11904
462058002,580.02,11915
462058003,580.03,11926
462058101,581.01,11937
462058102,581.02,11948
462058201,582.01,11959
462058202,582.02,11970
462058300,583,11981
462058400,584,11992
462058501,585.01,12003
462058502,585.02,12014
462059001,590.01,12025
462059002,590.02,12036
462059101,591.01,12047
462059102,591.02,12058
462059200,592,12069
462059301,593.01,12080
462059302,593.02,12091
462059401,594.01,12102
462059402,594.02,12113
462060001,600.01,12124
462060002,600.02,12135
462060003,600.03,12146
462060101,601.01,12157
462060102,601.02,12168
462060201,602.01,12179
462060202,602.02,12190
462060301,603.01,12201
462060302,603.02,12212
462060303,603.03,12223
462060401,604.01,12234
462060402,604.02,12245
462060403,604.03,12256
462060404,604.04,12267
462060405,604.05,12278
462060501,605.01,12289
462060502,605.02,12300
462060503,605.03,12311
462060504,605.04,12322
462060505,605.05,12333
462061001,610.01,12344
462061002,610.02,12355
462061003,610.03,12366
462061004,610.04,12377
462061005,610.05,12388
462061006,610.06,12399
462061007,610.07,12410
462061101,611.01,12421
462061102,611.02,12432
462061200,612,12443
462061300,613,12454
462061400,614,12465
462061500,615,12476
462061600,616,12487
462061701,617.01,12498
462061702,617.02,12509
462061800,618,12520
462061900,619,12531
462062501,625.01,12542
462062502,625.02,12553
462062600,626,12564
462062700,627,12575
462062801,628.01,12586
462062802,628.02,12597
462062900,629,12608
462063001,630.01,12619
462063002,630.02,12630
462063100,631,12641
462063201,632.01,12652
462063202,632.02,12663
462063203,632.03,12674
462063204,632.04,12685
462063300,633,12696
462063400,634,12707
462063500,635,12718
462063600,636,12729
462063701,637.01,12740
462063702,637.02,12751
462063801,638.01,12762
462063802,638.02,12773
462063803,638.03,12784
462063804,638.04,12795
462063900,639,12806
462064000,640,12817
462064101,641.01,12828
462064102,641.02,12839
462064200,642,12850
462064301,643.01,12861
462064302,643.02,12872
462064303,643.03,12883
462064400,644,12894
462064500,645,12905
462064601,646.01,12916
462064602,646.02,12927
462064603,646.03,12938
462064701,647.01,12949
462064702,647.02,12960
462064800,648,12971
462064901,649.01,12982
462064902,649.02,12993
462065001,650.01,13004
462065002,650.02,13015
462065004,650.04,13026
462065005,650.05,13037
462065101,651.01,13048
462065102,651.02,13059
462065201,652.01,13070
462065204,652.04,13081
