Geography,Age group,2010
"Kitchener-Cambridge-Waterloo, Ontario",35 to 39 years,22.0
"Kitchener-Cambridge-Waterloo, Ontario",40 to 44 years,32.0
"Kitchener-Cambridge-Waterloo, Ontario",45 to 49 years,69.0
"Kitchener-Cambridge-Waterloo, Ontario",5 to 9 years,2.0
"Kitchener-Cambridge-Waterloo, Ontario",50 to 54 years,114.0
"Kitchener-Cambridge-Waterloo, Ontario",55 to 59 years,145.0
"Kitchener-Cambridge-Waterloo, Ontario",60 to 64 years,194.0
"Kitchener-Cambridge-Waterloo, Ontario",65 to 69 years,252.0
"Kitchener-Cambridge-Waterloo, Ontario",70 to 74 years,259.0
"Kitchener-Cambridge-Waterloo, Ontario",75 to 79 years,326.0
"Kitchener-Cambridge-Waterloo, Ontario",80 to 84 years,475.0
"Kitchener-Cambridge-Waterloo, Ontario",85 to 89 years,467.0
"Kitchener-Cambridge-Waterloo, Ontario",90 years and over,437.0
"Kitchener-Cambridge-Waterloo, Ontario",All ages,2889.0
"London, Ontario",0 to 4 years,28.0
"London, Ontario",10 to 14 years,2.0
"London, Ontario",15 to 19 years,9.0
"London, Ontario",20 to 24 years,13.0
"London, Ontario",25 to 29 years,11.0
"London, Ontario",30 to 34 years,19.0
"London, Ontario",35 to 39 years,21.0
"London, Ontario",40 to 44 years,65.0
"London, Ontario",45 to 49 years,68.0
"London, Ontario",5 to 9 years,4.0
"London, Ontario",50 to 54 years,126.0
"London, Ontario",55 to 59 years,149.0
"London, Ontario",60 to 64 years,216.0
"London, Ontario",65 to 69 years,260.0
"London, Ontario",70 to 74 years,326.0
"London, Ontario",75 to 79 years,405.0
"London, Ontario",80 to 84 years,590.0
"London, Ontario",85 to 89 years,621.0
"London, Ontario",90 years and over,540.0
"London, Ontario",All ages,3473.0
"Moncton, New Brunswick",0 to 4 years,9.0
"Moncton, New Brunswick",10 to 14 years,1.0
"Moncton, New Brunswick",15 to 19 years,4.0
"Moncton, New Brunswick",20 to 24 years,3.0
"Moncton, New Brunswick",25 to 29 years,8.0
"Moncton, New Brunswick",30 to 34 years,7.0
"Moncton, New Brunswick",35 to 39 years,6.0
"Moncton, New Brunswick",40 to 44 years,13.0
"Moncton, New Brunswick",45 to 49 years,29.0
"Moncton, New Brunswick",5 to 9 years,2.0
"Moncton, New Brunswick",50 to 54 years,26.0
"Moncton, New Brunswick",55 to 59 years,52.0
"Moncton, New Brunswick",60 to 64 years,63.0
"Moncton, New Brunswick",65 to 69 years,76.0
"Moncton, New Brunswick",70 to 74 years,77.0
"Moncton, New Brunswick",75 to 79 years,110.0
"Moncton, New Brunswick",80 to 84 years,148.0
"Moncton, New Brunswick",85 to 89 years,170.0
"Moncton, New Brunswick",90 years and over,195.0
"Moncton, New Brunswick",All ages,999.0
"Montr??al, Quebec",0 to 4 years,243.0
"Montr??al, Quebec",10 to 14 years,23.0
"Montr??al, Quebec",15 to 19 years,54.0
"Montr??al, Quebec",20 to 24 years,89.0
"Montr??al, Quebec",25 to 29 years,90.0
"Montr??al, Quebec",30 to 34 years,125.0
"Montr??al, Quebec",35 to 39 years,173.0
"Montr??al, Quebec",40 to 44 years,290.0
"Montr??al, Quebec",45 to 49 years,578.0
"Montr??al, Quebec",5 to 9 years,13.0
"Montr??al, Quebec",50 to 54 years,908.0
"Montr??al, Quebec",55 to 59 years,1269.0
"Montr??al, Quebec",60 to 64 years,1682.0
"Montr??al, Quebec",65 to 69 years,2062.0
"Montr??al, Quebec",70 to 74 years,2608.0
"Montr??al, Quebec",75 to 79 years,3587.0
"Montr??al, Quebec",80 to 84 years,4520.0
"Montr??al, Quebec",85 to 89 years,4424.0
"Montr??al, Quebec",90 years and over,4150.0
"Montr??al, Quebec",All ages,26888.0
"Oshawa, Ontario",0 to 4 years,28.0
"Oshawa, Ontario",10 to 14 years,2.0
"Oshawa, Ontario",15 to 19 years,10.0
"Oshawa, Ontario",20 to 24 years,11.0
"Oshawa, Ontario",25 to 29 years,7.0
"Oshawa, Ontario",30 to 34 years,18.0
"Oshawa, Ontario",35 to 39 years,12.0
"Oshawa, Ontario",40 to 44 years,26.0
"Oshawa, Ontario",45 to 49 years,46.0
"Oshawa, Ontario",5 to 9 years,0.0
"Oshawa, Ontario",50 to 54 years,99.0
"Oshawa, Ontario",55 to 59 years,126.0
"Oshawa, Ontario",60 to 64 years,157.0
"Oshawa, Ontario",65 to 69 years,178.0
"Oshawa, Ontario",70 to 74 years,203.0
"Oshawa, Ontario",75 to 79 years,284.0
"Oshawa, Ontario",80 to 84 years,362.0
"Oshawa, Ontario",85 to 89 years,295.0
"Oshawa, Ontario",90 years and over,276.0
"Oshawa, Ontario",All ages,2140.0
"Ottawa-Gatineau, Ontario/Quebec",0 to 4 years,73.0
"Ottawa-Gatineau, Ontario/Quebec",10 to 14 years,5.0
"Ottawa-Gatineau, Ontario/Quebec",15 to 19 years,22.0
"Ottawa-Gatineau, Ontario/Quebec",20 to 24 years,27.0
"Ottawa-Gatineau, Ontario/Quebec",25 to 29 years,39.0
"Ottawa-Gatineau, Ontario/Quebec",30 to 34 years,47.0
"Ottawa-Gatineau, Ontario/Quebec",35 to 39 years,57.0
"Ottawa-Gatineau, Ontario/Quebec",40 to 44 years,107.0
"Ottawa-Gatineau, Ontario/Quebec",45 to 49 years,195.0
"Ottawa-Gatineau, Ontario/Quebec",5 to 9 years,5.0
"Ottawa-Gatineau, Ontario/Quebec",50 to 54 years,287.0
"Ottawa-Gatineau, Ontario/Quebec",55 to 59 years,410.0
"Ottawa-Gatineau, Ontario/Quebec",60 to 64 years,482.0
"Ottawa-Gatineau, Ontario/Quebec",65 to 69 years,542.0
"Ottawa-Gatineau, Ontario/Quebec",70 to 74 years,666.0
"Ottawa-Gatineau, Ontario/Quebec",75 to 79 years,893.0
"Ottawa-Gatineau, Ontario/Quebec",80 to 84 years,1121.0
"Ottawa-Gatineau, Ontario/Quebec",85 to 89 years,1324.0
"Ottawa-Gatineau, Ontario/Quebec",90 years and over,1086.0
"Ottawa-Gatineau, Ontario/Quebec",All ages,7388.0
"Peterborough, Ontario",0 to 4 years,6.0
"Peterborough, Ontario",10 to 14 years,0.0
"Peterborough, Ontario",15 to 19 years,2.0
"Peterborough, Ontario",20 to 24 years,3.0
"Peterborough, Ontario",25 to 29 years,2.0
"Peterborough, Ontario",30 to 34 years,6.0
"Peterborough, Ontario",35 to 39 years,4.0
"Peterborough, Ontario",40 to 44 years,15.0
"Peterborough, Ontario",45 to 49 years,22.0
"Peterborough, Ontario",5 to 9 years,1.0
"Peterborough, Ontario",50 to 54 years,46.0
"Peterborough, Ontario",55 to 59 years,44.0
"Peterborough, Ontario",60 to 64 years,75.0
"Peterborough, Ontario",65 to 69 years,65.0
"Peterborough, Ontario",70 to 74 years,89.0
"Peterborough, Ontario",75 to 79 years,159.0
"Peterborough, Ontario",80 to 84 years,199.0
"Peterborough, Ontario",85 to 89 years,204.0
"Peterborough, Ontario",90 years and over,198.0
"Peterborough, Ontario",All ages,1140.0
"Qu??bec, Quebec",0 to 4 years,40.0
"Qu??bec, Quebec",10 to 14 years,3.0
"Qu??bec, Quebec",15 to 19 years,8.0
"Qu??bec, Quebec",20 to 24 years,27.0
"Qu??bec, Quebec",25 to 29 years,27.0
"Qu??bec, Quebec",30 to 34 years,19.0
"Qu??bec, Quebec",35 to 39 years,35.0
"Qu??bec, Quebec",40 to 44 years,59.0
"Qu??bec, Quebec",45 to 49 years,100.0
"Qu??bec, Quebec",5 to 9 years,2.0
