Geography,Age group,2010,2011,2012,2013,2014,2015,2016
,55 to 59 years,47,47,44,48,49,52,53
,60 to 64 years,58,57,53,52,52,55,56
,65 to 69 years,75,64,73,77,83,85,90
,70 to 74 years,80,77,93,76,76,80,85
,75 to 79 years,139,115,117,115,120,124,127
,80 to 84 years,159,137,159,173,175,178,183
,85 to 89 years,188,170,199,197,204,209,216
,90 years and over,155,144,187,181,185,194,221
"London, Ontario",All ages,"3,473","3,630","3,708","3,946","4,086","4,225","4,369"
,-1 year 7,19,27,16,24,25,26,26
,0 to 4 years,9,12,7,9,9,9,10
,5 to 9 years,4,0,0,3,3,3,3
,10 to 14 years,2,2,5,3,3,3,3
,15 to 19 years,9,9,7,13,12,12,12
,20 to 24 years,13,13,22,24,24,25,25
,25 to 29 years,11,14,21,31,30,32,33
,30 to 34 years,19,26,32,19,19,19,19
,35 to 39 years,21,26,23,26,26,27,27
,40 to 44 years,65,51,51,38,38,40,38
,45 to 49 years,68,81,87,75,74,70,70
,50 to 54 years,126,111,138,144,145,148,145
,55 to 59 years,149,183,185,193,202,204,210
,60 to 64 years,216,196,238,226,231,237,245
,65 to 69 years,260,271,281,311,329,346,363
,70 to 74 years,326,343,362,348,360,373,391
,75 to 79 years,405,427,423,466,478,490,503
,80 to 84 years,590,619,586,588,596,605,613
,85 to 89 years,621,648,626,662,678,699,720
,90 years and over,540,571,598,743,804,857,913
"Windsor, Ontario",All ages,"2,397","2,449","2,521","2,569","2,658","2,750","2,845"
,-1 year 7,10,12,15,9,9,10,11
,0 to 4 years,2,9,4,2,2,2,2
,5 to 9 years,3,3,0,0,0,0,0
,10 to 14 years,0,2,4,4,4,4,4
,15 to 19 years,4,6,1,11,11,10,10
,20 to 24 years,12,8,11,8,8,8,8
,25 to 29 years,8,8,15,8,8,8,8
,30 to 34 years,15,11,16,12,11,12,14
,35 to 39 years,23,20,18,20,19,19,20
,40 to 44 years,38,35,33,16,16,16,16
,45 to 49 years,54,76,52,54,52,50,51
,50 to 54 years,103,101,111,95,96,95,95
,55 to 59 years,129,132,130,129,132,136,139
,60 to 64 years,156,188,157,163,168,172,177
,65 to 69 years,182,206,187,229,240,252,265
,70 to 74 years,213,225,239,253,263,275,287
,75 to 79 years,323,309,276,328,338,348,357
,80 to 84 years,392,387,418,394,402,408,413
,85 to 89 years,392,416,441,451,466,481,497
,90 years and over,338,295,393,383,413,444,471
"Barrie, Ontario",All ages,"1,226","1,176","1,297","1,344","1,393","1,426","1,482"
,-1 year 7,9,7,8,9,9,10,10
,0 to 4 years,3,2,3,4,3,4,4
,5 to 9 years,1,0,1,2,2,2,2
,10 to 14 years,0,0,0,0,0,0,0
,15 to 19 years,5,7,10,0,0,0,0
,20 to 24 years,6,4,7,4,4,4,4
,25 to 29 years,8,5,8,7,7,7,7
,30 to 34 years,8,6,13,5,5,5,5
,35 to 39 years,8,11,7,6,6,6,6
,40 to 44 years,12,19,17,19,19,19,19
,45 to 49 years,31,41,37,34,33,33,32
,50 to 54 years,52,47,55,70,71,71,71
,55 to 59 years,73,39,51,79,80,82,85
,60 to 64 years,75,78,70,82,84,84,89
,65 to 69 years,107,87,104,96,101,108,111
,70 to 74 years,101,124,112,114,116,123,128
,75 to 79 years,168,159,174,169,174,180,184
,80 to 84 years,181,201,195,219,224,227,231
,85 to 89 years,205,172,214,191,197,202,210
,90 years and over,173,167,211,234,258,259,284
"Greater Sudbury, Ontario",All ages,"1,442","1,402","1,499","1,585","1,642","1,698","1,757"
,-1 year 7,7,3,11,7,8,8,8
,0 to 4 years,1,1,3,0,0,0,0
,5 to 9 years,1,0,0,1,1,1,1
,10 to 14 years,1,1,2,0,0,0,0
,15 to 19 years,3,7,1,4,4,4,3
,20 to 24 years,2,7,11,9,10,9,10
,25 to 29 years,7,9,6,8,8,8,8
,30 to 34 years,12,17,15,7,7,7,7
,35 to 39 years,9,11,8,11,11,11,12
,40 to 44 years,25,16,21,22,22,22,22
,45 to 49 years,52,44,40,36,34,34,34
,50 to 54 years,68,70,58,59,62,62,61
,55 to 59 years,82,82,81,103,105,109,113
,60 to 64 years,117,93,93,112,114,117,122
,65 to 69 years,109,121,134,121,127,136,141
,70 to 74 years,125,121,162,175,183,190,199
,75 to 79 years,186,189,205,190,191,200,205
,80 to 84 years,258,215,232,262,267,270,274
,85 to 89 years,221,217,195,252,260,268,279
,90 years and over,156,178,221,206,228,242,258
"Thunder Bay, Ontario",All ages,"1,268","1,239","1,234","1,254","1,296","1,343","1,388"
,-1 year 7,8,7,6,4,4,4,4
,0 to 4 years,0,1,2,4,4,4,4
,5 to 9 years,2,1,1,1,1,1,1
,10 to 14 years,1,1,3,1,1,1,1
,15 to 19 years,4,5,4,2,1,2,1
,20 to 24 years,3,7,7,11,11,11,11
,25 to 29 years,4,5,10,8,8,8,8
,30 to 34 years,15,6,10,18,19,19,20
,35 to 39 years,7,7,9,8,9,9,9
,40 to 44 years,17,16,15,18,18,17,18
,45 to 49 years,35,22,33,33,32,30,31
,50 to 54 years,60,48,44,53,55,54,53
,55 to 59 years,49,66,65,72,72,76,77
,60 to 64 years,91,88,73,76,77,81,83
