Geography,Age group,2010,2011,2012,2013,2014,2015,2016
"Halifax, Nova Scotia",45 to 49 years,64.0,65.0,76.0,68.0,64.0,61.0,61.0
"Halifax, Nova Scotia",5 to 9 years,1.0,1.0,2.0,4.0,5.0,5.0,5.0
"Halifax, Nova Scotia",50 to 54 years,127.0,102.0,104.0,114.0,113.0,111.0,108.0
"Halifax, Nova Scotia",55 to 59 years,173.0,147.0,141.0,147.0,148.0,151.0,155.0
"Halifax, Nova Scotia",60 to 64 years,170.0,181.0,231.0,192.0,194.0,197.0,200.0
"Halifax, Nova Scotia",65 to 69 years,241.0,215.0,228.0,297.0,313.0,328.0,335.0
"Halifax, Nova Scotia",70 to 74 years,272.0,261.0,287.0,286.0,297.0,312.0,330.0
"Halifax, Nova Scotia",75 to 79 years,337.0,350.0,333.0,352.0,364.0,373.0,386.0
"Halifax, Nova Scotia",80 to 84 years,416.0,429.0,429.0,429.0,432.0,443.0,450.0
"Halifax, Nova Scotia",85 to 89 years,456.0,409.0,444.0,455.0,466.0,474.0,485.0
"Halifax, Nova Scotia",90 years and over,433.0,440.0,481.0,535.0,550.0,550.0,582.0
"Halifax, Nova Scotia",All ages,2842.0,2727.0,2883.0,3007.0,3071.0,3136.0,3226.0
"Hamilton, Ontario",0 to 4 years,31.0,45.0,32.0,43.0,44.0,43.0,45.0
"Hamilton, Ontario",10 to 14 years,8.0,4.0,8.0,5.0,3.0,4.0,5.0
"Hamilton, Ontario",15 to 19 years,15.0,23.0,9.0,5.0,5.0,5.0,5.0
"Hamilton, Ontario",20 to 24 years,18.0,22.0,20.0,25.0,26.0,26.0,27.0
"Hamilton, Ontario",25 to 29 years,21.0,21.0,23.0,25.0,27.0,27.0,27.0
"Hamilton, Ontario",30 to 34 years,29.0,22.0,32.0,27.0,28.0,29.0,28.0
"Hamilton, Ontario",35 to 39 years,33.0,32.0,41.0,39.0,39.0,39.0,40.0
"Hamilton, Ontario",40 to 44 years,48.0,62.0,56.0,65.0,65.0,64.0,64.0
"Hamilton, Ontario",45 to 49 years,122.0,118.0,98.0,109.0,106.0,102.0,99.0
"Hamilton, Ontario",5 to 9 years,2.0,3.0,4.0,3.0,3.0,3.0,3.0
"Hamilton, Ontario",50 to 54 years,175.0,196.0,203.0,210.0,211.0,213.0,212.0
"Hamilton, Ontario",55 to 59 years,239.0,246.0,270.0,290.0,293.0,302.0,311.0
"Hamilton, Ontario",60 to 64 years,344.0,362.0,352.0,347.0,357.0,367.0,375.0
"Hamilton, Ontario",65 to 69 years,418.0,415.0,416.0,473.0,498.0,524.0,547.0
"Hamilton, Ontario",70 to 74 years,471.0,510.0,495.0,576.0,600.0,623.0,652.0
"Hamilton, Ontario",75 to 79 years,742.0,752.0,723.0,729.0,750.0,765.0,788.0
"Hamilton, Ontario",80 to 84 years,900.0,953.0,1031.0,1020.0,1035.0,1050.0,1061.0
"Hamilton, Ontario",85 to 89 years,1001.0,1080.0,1131.0,1096.0,1125.0,1159.0,1198.0
"Hamilton, Ontario",90 years and over,886.0,894.0,1105.0,1197.0,1295.0,1380.0,1458.0
"Hamilton, Ontario",All ages,5503.0,5760.0,6049.0,6284.0,6510.0,6725.0,6945.0
"Kelowna, British Columbia",0 to 4 years,10.0,2.0,4.0,4.0,4.0,4.0,4.0
"Kelowna, British Columbia",10 to 14 years,1.0,3.0,1.0,1.0,1.0,1.0,1.0
"Kelowna, British Columbia",15 to 19 years,3.0,6.0,2.0,3.0,3.0,3.0,3.0
"Kelowna, British Columbia",20 to 24 years,5.0,10.0,6.0,6.0,6.0,6.0,7.0
"Kelowna, British Columbia",25 to 29 years,8.0,12.0,8.0,8.0,8.0,8.0,8.0
"Kelowna, British Columbia",30 to 34 years,15.0,5.0,17.0,9.0,10.0,10.0,11.0
"Kelowna, British Columbia",35 to 39 years,13.0,13.0,8.0,7.0,7.0,7.0,7.0
"Kelowna, British Columbia",40 to 44 years,14.0,13.0,24.0,17.0,17.0,17.0,18.0
"Kelowna, British Columbia",45 to 49 years,30.0,38.0,33.0,25.0,25.0,25.0,27.0
"Kelowna, British Columbia",5 to 9 years,0.0,3.0,0.0,0.0,0.0,0.0,0.0
"Kelowna, British Columbia",50 to 54 years,45.0,47.0,32.0,49.0,49.0,48.0,48.0
"Kelowna, British Columbia",55 to 59 years,66.0,62.0,48.0,55.0,58.0,57.0,60.0
"Kelowna, British Columbia",60 to 64 years,78.0,86.0,86.0,80.0,82.0,82.0,89.0
"Kelowna, British Columbia",65 to 69 years,105.0,114.0,101.0,103.0,109.0,113.0,124.0
"Kelowna, British Columbia",70 to 74 years,150.0,139.0,135.0,153.0,163.0,169.0,183.0
"Kelowna, British Columbia",75 to 79 years,195.0,195.0,190.0,198.0,206.0,210.0,228.0
"Kelowna, British Columbia",80 to 84 years,239.0,243.0,276.0,268.0,277.0,278.0,291.0
"Kelowna, British Columbia",85 to 89 years,322.0,288.0,287.0,313.0,325.0,332.0,359.0
"Kelowna, British Columbia",90 years and over,276.0,314.0,331.0,305.0,333.0,347.0,378.0
"Kelowna, British Columbia",All ages,1575.0,1593.0,1589.0,1604.0,1683.0,1717.0,1846.0
"Kingston, Ontario",0 to 4 years,8.0,13.0,8.0,9.0,9.0,9.0,10.0
"Kingston, Ontario",10 to 14 years,3.0,0.0,1.0,4.0,4.0,3.0,4.0
"Kingston, Ontario",15 to 19 years,4.0,3.0,4.0,0.0,0.0,0.0,0.0
"Kingston, Ontario",20 to 24 years,0.0,11.0,8.0,5.0,5.0,5.0,5.0
"Kingston, Ontario",25 to 29 years,3.0,8.0,6.0,7.0,7.0,7.0,7.0
"Kingston, Ontario",30 to 34 years,8.0,6.0,11.0,10.0,10.0,11.0,11.0
"Kingston, Ontario",35 to 39 years,11.0,13.0,7.0,6.0,6.0,6.0,6.0
"Kingston, Ontario",40 to 44 years,18.0,17.0,7.0,16.0,16.0,16.0,16.0
"Kingston, Ontario",45 to 49 years,31.0,25.0,24.0,35.0,34.0,33.0,32.0
"Kingston, Ontario",5 to 9 years,0.0,0.0,2.0,0.0,0.0,0.0,0.0
"Kingston, Ontario",50 to 54 years,52.0,51.0,62.0,45.0,46.0,45.0,45.0
"Kingston, Ontario",55 to 59 years,73.0,60.0,70.0,62.0,62.0,65.0,67.0
"Kingston, Ontario",60 to 64 years,92.0,97.0,109.0,102.0,104.0,109.0,111.0
"Kingston, Ontario",65 to 69 years,100.0,119.0,101.0,108.0,116.0,119.0,124.0
"Kingston, Ontario",70 to 74 years,128.0,106.0,145.0,152.0,156.0,164.0,172.0
"Kingston, Ontario",75 to 79 years,191.0,186.0,152.0,175.0,179.0,186.0,190.0
"Kingston, Ontario",80 to 84 years,207.0,212.0,223.0,211.0,215.0,216.0,219.0
"Kingston, Ontario",85 to 89 years,218.0,216.0,262.0,205.0,212.0,218.0,226.0
"Kingston, Ontario",90 years and over,206.0,225.0,238.0,244.0,265.0,283.0,302.0
"Kingston, Ontario",All ages,1353.0,1368.0,1440.0,1396.0,1446.0,1495.0,1547.0
"Kitchener-Cambridge-Waterloo, Ontario",0 to 4 years,30.0,22.0,27.0,31.0,31.0,31.0,32.0
"Kitchener-Cambridge-Waterloo, Ontario",10 to 14 years,4.0,7.0,4.0,13.0,14.0,14.0,14.0
"Kitchener-Cambridge-Waterloo, Ontario",15 to 19 years,15.0,7.0,9.0,12.0,12.0,12.0,11.0
"Kitchener-Cambridge-Waterloo, Ontario",20 to 24 years,13.0,19.0,15.0,11.0,12.0,11.0,13.0
